smiles,true_category
B(C1=CC=C(C=C1)COC2=C(C=C3C=C4CCCC(=C4OC3=C2)/C=C/C5=[N+](C6=CC=CC=C6C5(C)C)CC)Cl)(O)[O-],1
B(C1=CC=CC=C1N2C(=O)C3=CC=CC=C3C24C5=C(C=C(C=C5)N(CC)CC)OC6=C4C=CC(=C6)N(CC)CC)(O)O,1
B1(N2C(=CC=C2/C=C/C3=CC=C(C=C3)OCC(=O)NCCCN=[N+]=[N-])C=C4[N+]1=C(C=C4)C5=CC=CS5)F.[F-],1
B1(OC(C(O1)(C)C)(C)C)C2=CC3=C(C=C2)C4(C5=CC=CC=C5C(=O)O4)C6=C(O3)C=C(C(=C6)C)NCC,1
B1(OC(C(O1)(C)C)(C)C)C2=CC=C(C=C2)COC3=CC4=C(C=C3)C5(C6=C(O4)C=C(C=C6)OCC7=CC=C(C=C7)B8OC(C(O8)(C)C)(C)C)C9=CC=CC=C9C(=O)O5,1
B1(OC[C@H](O1)[C@@H]2[C@H]3[C@H](COB(O3)C4=CC=CC=C4)OB(O2)C5=CC=CC=C5)C6=CC=CC=C6,0
B1C=Cc2ccc3ccccc3c2N1,1
BrC1=CC=CN2B1C=Cc1ccccc12,1
BrC1=CN2C[n+]3cc(Br)c4ccccc4c3N=C2c2ccccc21,1
BrC1=CN2C[n+]3cc(Br)cc(Br)c3N=C2C(Br)=C1,1
BrC1=CN2C[n+]3cc(Br)ccc3N=C2C=C1,1
BrCC1C2=C(C)C=C(C)N2[B-]([N+]3=C(C)C=C(C)C31)(F)F,1
BrCCCCCCCCCCCCOc1cc2ccc3cccc4ccc(c1)c2c34,1
Brc1cc(/C=C/c2ccc(N(c3ccccc3)c3ccccc3)cc2)c(Br)cc1/C=C/c1ccc(N(c2ccccc2)c2ccccc2)cc1,1
Brc1cc2nc3cc4c5c(cccc5c3nc2cc1Br)C(c1ccccc1)=C(c1ccccc1)O4,1
Brc1ccc(-c2nc(-c3ccc(-c4nc(-c5ccc(Br)cc5)c(-c5ccc(Br)cc5)[nH]4)cc3)[nH]c2-c2ccc(Br)cc2)cc1,1
Brc1ccc(-c2nc(-c3ccc(C#Cc4ccc(-n5c6ccccc6c6ccccc65)cc4)cc3)nc(-c3ccc(C#Cc4ccc(-n5c6ccccc6c6ccccc65)cc4)cc3)n2)cc1,1
Brc1ccc(-c2nc3sc4ccccc4c3s2)cc1,1
Brc1ccc(-c2pc3ccccc3s2)cc1,1
Brc1ccc(/C=C/c2ccncn2)cc1,1
