smiles,absorption_max,emission_max
CC(C)C(N1c2nc3cc(OC)ccc3cc2CC1)=O,488.0,530.0
CC(C)C(N1c2nc3cc(OC)ccc3cc2CC1)=O,469.0,525.0
CC(C)C(N1c2nc3cc(OC)ccc3cc2CC1)=O,340.0,450.0
CC(C)C(N1c2nc3cc(OC)ccc3cc2CC1)=O,547.0,598.0
CC(C)C(N1c2nc3cc(OC)ccc3cc2CC1)=O,480.0,540.0
CC(C)C(N1c2nc3cc(OC)ccc3cc2CC1)=O,405.0,520.0
CC(C)C(N1c2nc3cc(OC)ccc3cc2CC1)=O,339.0,460.0
CC(C)C(N1c2nc3cc(OC)ccc3cc2CC1)=O,547.0,618.0
CC(C)C(N1c2nc3cc(OC)ccc3cc2CC1)=O,570.0,671.0
CC(C)C(N1c2nc3cc(OC)ccc3cc2CC1)=O,405.0,460.0
CC(C)C(N1c2nc3cc(OC)ccc3cc2CC1)=O,485.0,535.0
CC(C)C(N1c2nc3cc(OC)ccc3cc2CC1)=O,540.0,590.0
CC(C)C(N1c2nc3cc(OC)ccc3cc2CC1)=O,586.0,603.0
CC(C)C(N1c2nc3cc(OC)ccc3cc2CC1)=O,488.0,535.0
CC(C)C(N1c2nc3cc(OC)ccc3cc2CC1)=O,340.0,460.0
CC1N(CC(N2CCN(C)CC2)=O)c(cccc2)c2NC(CC(C)(C)C2)=C1C2=O,488.0,530.0
CC1N(CC(N2CCN(C)CC2)=O)c(cccc2)c2NC(CC(C)(C)C2)=C1C2=O,469.0,525.0
CC1N(CC(N2CCN(C)CC2)=O)c(cccc2)c2NC(CC(C)(C)C2)=C1C2=O,340.0,450.0
CC1N(CC(N2CCN(C)CC2)=O)c(cccc2)c2NC(CC(C)(C)C2)=C1C2=O,547.0,598.0
CC1N(CC(N2CCN(C)CC2)=O)c(cccc2)c2NC(CC(C)(C)C2)=C1C2=O,480.0,540.0
CC1N(CC(N2CCN(C)CC2)=O)c(cccc2)c2NC(CC(C)(C)C2)=C1C2=O,405.0,520.0
CC1N(CC(N2CCN(C)CC2)=O)c(cccc2)c2NC(CC(C)(C)C2)=C1C2=O,339.0,460.0
CC1N(CC(N2CCN(C)CC2)=O)c(cccc2)c2NC(CC(C)(C)C2)=C1C2=O,547.0,618.0
CC1N(CC(N2CCN(C)CC2)=O)c(cccc2)c2NC(CC(C)(C)C2)=C1C2=O,570.0,671.0
CC1N(CC(N2CCN(C)CC2)=O)c(cccc2)c2NC(CC(C)(C)C2)=C1C2=O,405.0,460.0
CC1N(CC(N2CCN(C)CC2)=O)c(cccc2)c2NC(CC(C)(C)C2)=C1C2=O,485.0,535.0
CC1N(CC(N2CCN(C)CC2)=O)c(cccc2)c2NC(CC(C)(C)C2)=C1C2=O,540.0,590.0
CC1N(CC(N2CCN(C)CC2)=O)c(cccc2)c2NC(CC(C)(C)C2)=C1C2=O,586.0,603.0
CC1N(CC(N2CCN(C)CC2)=O)c(cccc2)c2NC(CC(C)(C)C2)=C1C2=O,488.0,535.0
CC1N(CC(N2CCN(C)CC2)=O)c(cccc2)c2NC(CC(C)(C)C2)=C1C2=O,340.0,460.0
CCC(CO)NCc1ccc(-c(cc(cc2)Cl)c2Cl)o1,488.0,530.0
CCC(CO)NCc1ccc(-c(cc(cc2)Cl)c2Cl)o1,469.0,525.0
CCC(CO)NCc1ccc(-c(cc(cc2)Cl)c2Cl)o1,340.0,450.0
CCC(CO)NCc1ccc(-c(cc(cc2)Cl)c2Cl)o1,547.0,598.0
CCC(CO)NCc1ccc(-c(cc(cc2)Cl)c2Cl)o1,480.0,540.0
CCC(CO)NCc1ccc(-c(cc(cc2)Cl)c2Cl)o1,405.0,520.0
CCC(CO)NCc1ccc(-c(cc(cc2)Cl)c2Cl)o1,339.0,460.0
CCC(CO)NCc1ccc(-c(cc(cc2)Cl)c2Cl)o1,547.0,618.0
CCC(CO)NCc1ccc(-c(cc(cc2)Cl)c2Cl)o1,570.0,671.0
CCC(CO)NCc1ccc(-c(cc(cc2)Cl)c2Cl)o1,405.0,460.0
CCC(CO)NCc1ccc(-c(cc(cc2)Cl)c2Cl)o1,485.0,535.0
CCC(CO)NCc1ccc(-c(cc(cc2)Cl)c2Cl)o1,540.0,590.0
CCC(CO)NCc1ccc(-c(cc(cc2)Cl)c2Cl)o1,586.0,603.0
CCC(CO)NCc1ccc(-c(cc(cc2)Cl)c2Cl)o1,488.0,535.0
CCC(CO)NCc1ccc(-c(cc(cc2)Cl)c2Cl)o1,340.0,460.0
CCCN(CC1)CCC1c1nnc(C2)n1CCN2C(Nc1c(C(F)(F)F)cccc1)=O,488.0,530.0
CCCN(CC1)CCC1c1nnc(C2)n1CCN2C(Nc1c(C(F)(F)F)cccc1)=O,469.0,525.0
CCCN(CC1)CCC1c1nnc(C2)n1CCN2C(Nc1c(C(F)(F)F)cccc1)=O,340.0,450.0
CCCN(CC1)CCC1c1nnc(C2)n1CCN2C(Nc1c(C(F)(F)F)cccc1)=O,547.0,598.0
CCCN(CC1)CCC1c1nnc(C2)n1CCN2C(Nc1c(C(F)(F)F)cccc1)=O,480.0,540.0
CCCN(CC1)CCC1c1nnc(C2)n1CCN2C(Nc1c(C(F)(F)F)cccc1)=O,405.0,520.0
CCCN(CC1)CCC1c1nnc(C2)n1CCN2C(Nc1c(C(F)(F)F)cccc1)=O,339.0,460.0
CCCN(CC1)CCC1c1nnc(C2)n1CCN2C(Nc1c(C(F)(F)F)cccc1)=O,547.0,618.0
CCCN(CC1)CCC1c1nnc(C2)n1CCN2C(Nc1c(C(F)(F)F)cccc1)=O,570.0,671.0
CCCN(CC1)CCC1c1nnc(C2)n1CCN2C(Nc1c(C(F)(F)F)cccc1)=O,405.0,460.0
CCCN(CC1)CCC1c1nnc(C2)n1CCN2C(Nc1c(C(F)(F)F)cccc1)=O,485.0,535.0
