Smiles,Solvent
CC(C)C(N1c2nc3cc(OC)ccc3cc2CC1)=O,ClCCl
CC(C)C(N1c2nc3cc(OC)ccc3cc2CC1)=O,CC#N
CC(C)C(N1c2nc3cc(OC)ccc3cc2CC1)=O,Cc1ccccc1
CC(C)C(N1c2nc3cc(OC)ccc3cc2CC1)=O,C1CCOC1
CC(C)C(N1c2nc3cc(OC)ccc3cc2CC1)=O,ClC(Cl)Cl
CC(C)C(N1c2nc3cc(OC)ccc3cc2CC1)=O,CO
CC(C)C(N1c2nc3cc(OC)ccc3cc2CC1)=O,CCO
CC(C)C(N1c2nc3cc(OC)ccc3cc2CC1)=O,CS(C)=O
CC(C)C(N1c2nc3cc(OC)ccc3cc2CC1)=O,C1CCCCC1
CC(C)C(N1c2nc3cc(OC)ccc3cc2CC1)=O,CN(C)C=O
CC(C)C(N1c2nc3cc(OC)ccc3cc2CC1)=O,CCCCCC
CC(C)C(N1c2nc3cc(OC)ccc3cc2CC1)=O,CCOC(C)=O
CC(C)C(N1c2nc3cc(OC)ccc3cc2CC1)=O,O
CC(C)C(N1c2nc3cc(OC)ccc3cc2CC1)=O,C1COCCO1
CC(C)C(N1c2nc3cc(OC)ccc3cc2CC1)=O,CC(C)=O
CC(C)C(N1c2nc3cc(OC)ccc3cc2CC1)=O,c1ccccc1
CC(C)C(N1c2nc3cc(OC)ccc3cc2CC1)=O,CC(C)O
CC(C)C(N1c2nc3cc(OC)ccc3cc2CC1)=O,CCOCC
CC(C)C(N1c2nc3cc(OC)ccc3cc2CC1)=O,CCCCO
CC(C)C(N1c2nc3cc(OC)ccc3cc2CC1)=O,CCCO
CC(C)C(N1c2nc3cc(OC)ccc3cc2CC1)=O,O=P(c1ccccc1)(c1ccccc1)c1ccccc1Oc1ccccc1P(=O)(c1ccccc1)c1ccccc1
CC(C)C(N1c2nc3cc(OC)ccc3cc2CC1)=O,CCCCCCC
