PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,MEAN_FLUORESCENCE,STD_FLUORESCENCE
RESULT_TYPE,,,,,,,,FLOAT,FLOAT
RESULT_DESCR,,,,,,,,Mean compound fluorescence at 530 nm in IgMXP3 cells from two repetitions,Standard deviation of compound fluorescence at 530 nm in IgMXP3 cells from two repetitions
RESULT_UNIT,,,,,,,,NONE,NONE
1,17506296,5333607,CCN(CC)C1=CC=C(C=C1)/C=C(\C#N)/C(=O)C2=CC=C(C=C2)Br,Active,100,,,743.26,643.85
2,4244548,2135723,C1CC2=C3C(=C4C(=C2)C=C(C(=N)O4)C(=O)NC5=CC=CC=C5)CCCN3C1,Active,84,,,625.01,389.22
3,24803103,5718631,CCN1/C(=C/C=C/C2=[N+](C3=C(O2)C=CC4=CC=CC=C43)CC)/OC5=C1C6=CC=CC=C6C=C5.CC1=CC=C(C=C1)S(=O)(=O)[O-],Active,73,,,546.01,109.21
4,22402851,2484938,CCCNC(=O)CN1/C(=C/C(=O)C(C)(C)C)/S/C(=C/C2=CC=C(O2)C3=CC=C(C=C3)[N+](=O)[O-])/C1=O,Active,70,,,523.56,293.97
5,24820374,5524030,CC1=CC(=CC(=C1)N/C=C/C2=C(C=C(C(=O)O2)NC(=O)C3=CC(=CC=C3)Cl)C(=O)OC)C,Active,68,,,503.11,262.08
6,17512364,1867783,C1CCN(CC1)C2=CC=C(O2)/C=C(/C#N)\C(=O)NC3=CC4=CC=CC=C4C=C3,Active,53,,,397.46,313.49
7,17387063,11839287,COCCN1C(=O)/C(=C/C2=CC(=C(C=C2OC)N3CCCC3)OC)/SC1=NC4=CC=CC=C4,Active,47,,,348.66,219.3
