PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Dose-response
RESULT_TYPE,,,,,,,,STRING
1,7975595,5310786,CCN1C2=CC=CC=C2C3=C1N=C(N=N3)SCCCN4C5=CC=CC=C5NC4=O,Inactive,0,,,no
2,26724861,3238712,C1CN(CCN1C2=CC=CC=N2)C(=O)CCCN3C(=O)C4=C(C=CS4)NC3=O,Inactive,0,,,no
3,26727949,2801536,COC1=CC=CC2=C1NC(=CC2=O)C(=O)OC,Inactive,0,,,no
4,24814835,4997409,COC(CNC(=O)C1=COC2=NC3=CC=CC=C3N=C12)OC,Inactive,0,,,no
5,863623,5389897,CC1=C(C(=O)C2=C(O1)C(=C(C=C2)O)CN3CCN(CC3)CCO)C4=CC=CC=C4OC,Inactive,0,,,no
6,26724787,3238612,COC1=C(C=C2C(=C1)C(=O)N(C(=O)N2)CCCC(=O)N3CCC(=CC3)C4=CC=CC=C4)OC,Inactive,0,,,no
7,14725957,1446976,CN(C1=NN=C(S1)C2=CC=CC=N2)C(=O)C3=CC=C(C=C3)C#N,Inactive,0,,,no
8,26657768,6184027,COCCCN\1C(=O)/C(=C\C2=CC(=C(C=C2)OC(F)F)OC)/S/C1=C(/C#N)\C(=O)NCCOC,Inactive,0,,,no
9,850514,653045,COC1=CC2=C(C=C1)C=C(C(=O)N2)CN(CC3=CN=CC=C3)CC4=NN=NN4CC5=CC=CC=C5,Inactive,0,,,no
10,7972845,2876123,C=CCN1C2=CC=CC=C2C3=C1N=C(N=N3)SCN4C(=O)C5=CC=CC=C5C4=O,Inactive,0,,,no
11,17505360,12004586,C1=CC=C2C(=C1)NC(=N2)C3=CC=C(C=C3)C(=O)O.Cl,Inactive,0,,,no
12,17387320,9564899,COC1=CC=C(C=C1)C(=O)N/N=C/C2=NC3=C(C=CC=C3OCC4=CC=CC=C4)C=C2,Inactive,0,,,no
13,24788356,899021,C1=CC=C(C=C1)CNC2=NNC(=S)N2C(=O)C3=CC=C(C=C3)F,Inactive,0,,,no
14,4244036,3238694,COC1=CC2=NC3=C(C=C2C=C1)C=C(O3)C(=O)NCCN4CCN(CC4)C5=CC=CC=C5F,Inactive,0,,,no
15,3713491,725782,CC(=O)OC1=C(C=C2C3=C(CCC3)C(=O)OC2=C1)Cl,Active,40,,,yes
16,4260975,974184,CCC1=CC(=O)OC2=C1C(=CC(=C2)OC(=O)C)OC(=O)C,Active,40,,,yes
17,7974724,708260,CC(=O)OC1=CC2=C(C=C1)C=C(C(=O)O2)C3=NC4=CC=CC=C4N3C,Active,40,,,yes
18,7968100,763581,CC(=O)NC1=CC2=C(C=C(C=C2)OC(=O)C)OC1=O,Active,40,,,yes
19,17412058,1184687,CC1=CC(=O)OC2=C1C=CC(=C2)OC(=O)CCN3C(=O)C4=CC=CC=C4C3=O,Active,40,,,yes
20,4259941,733831,CCOC(=O)C1=CC2=C(C=C(C=C2)OC(=O)C3=CC=CO3)OC1=O,Active,40,,,yes
21,14720688,135473386,CCCCCCC1=C(C=C2C(=C1)C=C(C(=O)O2)C3=NN=C(O3)C4=CC=CC=C4OC)O,Active,40,,,yes
22,14729425,366,CC1=CC(=O)OC2=C1C=CC(=C2)OC(=O)C,Active,40,,,yes
23,24824122,928228,CC(=O)OC1=CC2=C(C=C1)C=CC(=O)O2,Active,40,,,yes
24,4261448,5740001,CCC1=C(C2=CC(=C(C(=C2OC1=O)CN(CC)CC)O)Cl)C,Active,40,,,yes
25,4264671,5622697,CCCCC1=CC(=O)OC2=C(C(=C(C=C12)Cl)O)CN3CCCC3,Active,40,,,yes
26,850331,652845,CN(C1=NN=C(S1)C2=CC=CC=N2)C(=O)C3=CC=NO3,Active,40,,,yes
27,14742734,5422067,CN(C)CC1=C(C=CC2=C1OC(=O)C3=C2CCCCC3)O,Active,40,,,yes
28,4261106,5421461,CCC1=C(C2=C(C(=C(C=C2)O)CN(C)C)OC1=O)C,Active,40,,,yes
29,4242453,3237311,CC1=CC(=O)OC2=C1C=CC(=C2NC(=O)C)OC(=O)C,Active,40,,,yes
30,861352,5389553,CCC1=CC(=O)OC2=C(C(=C(C=C12)Cl)O)CN3CCN(CC3)C,Active,40,,,yes
31,4259912,5429720,CC1=C(C(=O)OC2=C(C(=C(C=C12)Cl)O)CN(C)C)CC3=CC=CC=C3,Active,40,,,yes
32,865067,666313,CC1(OC(=O)C2(CC3=C(C=CC4=CC=CC=C34)N(C2)C)C(=O)O1)C,Active,40,,,yes
33,14741140,5939237,CN(C)CC1=C2C(=CC(=C1O)Cl)C3=C(CCCC3)C(=O)O2,Active,40,,,yes
34,4265362,1242618,CC1=C(C(=O)OC2=C1C=CC(=C2)OC(=O)C3=CC=CO3)CC(=O)OC,Active,40,,,yes
35,4260312,5739939,CCC1=C(C2=CC(=C(C(=C2OC1=O)CN(C)C)O)Cl)C,Active,40,,,yes
36,3715671,2999311,CCNC(=O)NC(=O)COC(=O)C1=CC=CC=C1SCC(=O)NC(=O)NCC,Active,40,,,yes
37,26725299,5388496,C1C2C(C(C(C(O2)O)O)O)OC(=O)C3=CC(=C(C(=C3C4=C(C(=C5C6=C4C(=O)OC7=C(C(=C(C8=C(C(=C(C=C8C(=O)O1)O)O)O)C(=C67)C(=O)O5)O)O)O)O)O)O)O,Active,40,,,yes
38,4264754,5553318,CCCCC1=CC(=O)OC2=C1C=CC(=C2CN(C)C)O,Active,40,,,yes
39,4257776,1242771,CN(C)C(=O)COC1=CC2=C(C=C1)C=C(C(=O)O2)C3=CC=CC=C3,Active,40,,,yes
40,858661,5389207,CC1CCN(CC1)CC2=C3C(=CC(=C2O)Cl)C(=CC(=O)O3)C,Active,40,,,yes
41,860600,5389392,CC1=CC(=O)OC2=C(C(=C(C=C12)Cl)O)CN3CCCCC3,Active,40,,,yes
42,861385,6603244,CCN(CC)CC1=C(C=CC2=C1OC(=O)C(=C2C)CC(=O)OC)O.Cl,Active,40,,,yes
43,14743392,5541651,CCCCC1=CC(=O)OC2=C(C(=C(C=C12)Cl)O)CN(CC)CC,Active,40,,,yes
44,14739181,5423063,CCN(CC)CC1=C2C(=CC(=C1O)Cl)C(=C(C(=O)O2)C)C,Active,40,,,yes
45,14734536,2837694,CN(C)CCCNS(=O)(=O)C1=CC=C(C=C1)N2CCC(=N2)C3=CC=C(C=C3)Cl,Active,40,,,yes
46,24831090,16196274,CC1=CC2=C(C=C1)OC(=CC2=NCCC(=O)O)C3=CC=C(C=C3)OC.OCl(=O)(=O)=O,Active,40,,,yes
47,14743359,5892724,CC1CCCN(C1)CC2=C(C=CC3=C2OC(=O)C(=C3C)CC(=O)OC)O,Active,40,,,yes
48,14722131,1951859,CC(C)OC(=O)CC(=O)CSC1=C(C=C2CCCCCC2=N1)C#N,Active,40,,,yes
49,7969856,542899,C1=CC(=CC=C1C2=NC3=C(O2)C=C(C=C3)N)N,Active,40,,,yes
