PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,EC50_Qualifier,EC50,Std.Err(EC50),nH,zScore,CellCount,NucleiNucArea,CellsNucIntensity
RESULT_TYPE,,,,,,,,STRING,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT
RESULT_DESCR,,,,,,,,"This qualifier is to be used with the next TID, EC50. If qualifier is =, IC50 result equals to the value in that column; if qualifier is >, EC50 result is greater than that value.",EC50 value determined using sigmoidal dose response equation,Standard Error of EC50 value,Hill coefficient determined using sigmoidal dose response equation,The zScore in primary screening,Number of cells,Nuclear Area,Average cell (GFP) intensity under the nuclei mask  
RESULT_UNIT,,,,,,,,,MICROMOLAR,MICROMOLAR,NONE,NONE,cells,um^2,RU
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,,TRUE,,,,,,
RESULT_ATTR_CONC_MICROMOL,,,,,,,,,,,,10,10,10,10
1,4252205,3245787,CCN(CCNC(=O)C1CCCN(C1)S(=O)(=O)CC)C2=CC=CC=C2,Inactive,0,,,,,,,-0.33,3427,5.0784,89.613
2,24808509,1455276,COC1=CC=CC(=C1)NC(=O)N2CCN(CC2)C3=NN=NN3C4=CC=CC=C4,Inactive,0,,,,,,,-0.33,2885,5.2514,89.567
3,24816505,2323759,CCN1/C(=C/C=C(\C#N)/C(=O)OCC)/C=CC2=CC=CC=C21,Inactive,0,,,,,,,-0.28,2718,5.4552,103.26
4,22411955,3688611,CC1=C(C(N2C3=CC=CC=C3N=C2N1)C4=C(C=C(C=C4)OC)OC)C(=O)C5=CC=CC=C5,Inactive,0,,,,,,,-0.33,2997,5.3758,89.461
5,24831815,4878878,CC1=CC(=C(C=C1)OC)NC(=O)CC(C2=CC=CC=C2)NC(=O)C,Inactive,0,,,,,,,-0.33,3057,5.192,89.293
6,22404340,9613462,C/C(=N\NC(=S)NCCOC)/C1=CC2=C(C=C1)C=C(C=C2)OC,Inactive,0,,,,,,,-0.33,2792,5.2588,89.399
7,14745643,2534073,C1OC2=C(O1)C=C(C=C2)CNC(=O)CSC3=NC4=C(O3)C=C(C=C4)Cl,Inactive,0,,,,,,,-0.33,3144,5.3139,89.149
8,845254,647594,CC1(C(=O)N(C2=C(O1)C=CC(=C2)C(=O)N3CCCCCC3)CC(=O)C4=CC(=CC=C4)OC)C,Inactive,0,,,,,,,-0.33,3685,5.1204,88.808
9,3717647,3000087,CC1=CC(=CC=C1)OCCNC2=NC3=C(N2C)C(=O)N(C(=O)N3C)C,Inactive,0,,,,,,,-0.33,3063,5.2193,88.686
10,14721286,3173825,CC(C)C(C1=NN=NN1C2CCCC2)N3CCOCC3,Inactive,0,,,,,,,-0.33,3184,5.3304,88.565
11,859575,660880,CC(C)OC1=C(C=C(C=C1)[C@@H]2[C@H]3CNCC=C3C(=C(C2(C#N)C#N)N)C#N)OC,Inactive,41,,,=,13.6,1.25,1.71,-0.3,3157,5.3262,97.296
12,3716728,867011,CC1=C(NC(=C1C(=O)C)C)C(=O)NC2=CC(=C(C=C2)OC)Cl,Inactive,0,,,,,,,-0.33,3410,5.2133,88.05
13,853043,655684,CN1CC=C2C(C1)C(C(C(=C2C#N)N)(C#N)C#N)C3=C(C(=CC=C3)Cl)Cl,Inactive,41,,,=,11.9,0.562,1.93,-0.2,3008,5.283,126.58
14,24796327,5741389,C1=CC=C2C(=C1)NC(=O)C(=N2)/C=C/C3=CC=C(C=C3)F,Inactive,0,,,,,,,-0.32,3057,5.2876,92.382
15,14743690,9551871,CC(C)C(C)(C#N)NC(=O)CSC1=NN=C(N1C)C(F)(F)F,Inactive,0,,,,,,,-0.33,3012,5.2754,88.441
16,24813443,2139032,CCCCOC1=CC=C(C=C1)C2=NC(=C(C(=C2)C(F)(F)F)C#N)SCC(=O)O,Inactive,41,,,=,12.3,2.03,1.11,-0.24,3057,5.319,114.31
17,17512364,1867783,C1CCN(CC1)C2=CC=C(O2)/C=C(/C#N)\C(=O)NC3=CC4=CC=CC=C4C=C3,Active,30,,,,,,,5.59,3000,5.1444,1778.9
18,24782643,1352303,C1C(=O)N(C(=NC(=O)C2=CC=CC=C2)S1)C3=CC=CC=C3Cl,Inactive,0,,,,,,,-0.31,3111,5.3537,95.642
19,4244548,2135723,C1CC2=C3C(=C4C(=C2)C=C(C(=N)O4)C(=O)NC5=CC=CC=C5)CCCN3C1,Active,30,,,,,,,0.18,3142,5.1612,233.99
20,17403500,3119020,C1C(N(N=C1C2=CC=CO2)C3=CC=CC=C3)C4=CC=C(C=C4)F,Inactive,0,,,,,,,-0.33,2912,5.4095,89.187
21,843355,645645,CC1(CC2=C(C(=O)NC(=C2CO1)C3=CC=CC=C3)C#N)C,Inactive,0,,,,,,,-0.33,3519,5.2206,88.44
22,24836741,3983935,CC1=CC(=NC2=C1C=CC(=C2)OC)SCC(=O)N(C)C3CCS(=O)(=O)C3,Active,56,,,=,9.63,0.642,3.55,-0.28,3268,5.1787,102.06
23,14735188,1046783,CC1=CC=C(C=C1)N2C3=C(C(=O)NC2=O)C(NC(=O)N3)(C(F)(F)F)C(F)(F)F,Inactive,0,,,,,,,-0.33,2847,5.1392,89.186
24,24840465,9688820,CC1=CC(=NC2=CC=CC=C12)N/N=C/C3=CC=C(O3)[N+](=O)[O-],Active,30,,,,,,,0.28,733,4.3374,264.15
25,17512113,1366257,C1CCN(CC1)C2=CC=C(O2)/C=C(\C#N)/C(=O)NC3=CC(=CC=C3)Br,Active,30,,,,,,,3.15,2785,5.214,1081.8
26,863900,665152,CC(=O)C1=[N+](C2=CC=CC=C2N=C1COC(=O)C3=CC=NC=C3)[O-],Inactive,0,,,,,,,-0.33,2883,5.1768,88.789
