PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,kMESF_SPAN,KMESF_33.0_MICROM (33.0uM),KMESF_11.2_MICROM (11.2uM),KMESF_3.7_MICROM (3.7uM),KMESF_1.23_MICROM (1.23uM),KMESF_0.41_MICROM (0.41uM),KMESF_0.13_MICROM (0.13uM),KMESF_0.05_MICROM (0.05uM),KMESF_0.01_MICROM (0.01uM),KMESF_0.005_MICROM (0.005uM),KMESF_0_MICROM (0uM)
RESULT_TYPE,,,,,,,,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT
RESULT_DESCR,,,,,,,,Magnitude of emission change from DMSO control to 33 mircroM test compound,Median channel fluorescence measured with 33.0 micromolar concentration of test compound,Median channel fluorescence measured with 11.2 micromolar concentration of test compound,Median channel fluorescence measured with 3.7 micromolar concentration of test compound,Median channel fluorescence measured with 1.23 micromolar concentration of test compound,Median channel fluorescence measured with 0.41 micromolar concentration of test compound,Median channel fluorescence measured with 0.13 micromolar concentration of test compound,Median channel fluorescence measured with 0.05 micromolar concentration of test compound,Median channel fluorescence measured with 0.01 micromolar concentration of test compound,Median channel fluorescence measured with 0.005 micromolar concentration of test compound,Median channel fluorescence measured with no test compound
RESULT_UNIT,,,,,,,,NONE,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT
RESULT_ATTR_CONC_MICROMOL,,,,,,,,,33,11.2,3.7,1.23,0.41,0.13,0.05,0.01,0.005,0
1,842230,644485,C1=CC=C(C=C1)N2C(=O)C(=C(C2=O)Cl)NC3=CC=CC=C3O,Inactive,0,,,0.1,3.61,3.51,3.51,3.61,3.51,3.51,3.51,3.41,,3.51
2,842629,644901,C1=CC=C(C=C1)NCC2=C3C=CC=NC3=C(C=C2)O,Inactive,0,,,0.4,3.84,3.64,3.74,3.64,3.54,3.54,3.54,3.44,,3.44
3,843526,645818,COC1=CC=CC2=C1NC=C(C2=O)C(=O)NCC3=CC=CS3,Inactive,1,,,0.5,3.94,4.15,4.05,4.15,3.64,3.54,3.54,3.54,,3.44
4,844176,54687454,CCCC1=NN=C(S1)NC(=O)C2=C(C3=CC=CC4=C3N(C2=O)CCC4)O,Inactive,4,,,3.84,7.08,6.27,3.03,2.93,3.03,3.14,3.14,3.14,,3.24
5,844793,54679396,CCC1=NC2=CC=CC=C2C(=O)N1NC(=O)C3=C(C4=CC=CC5=C4N(C3=O)CCC5)O,Inactive,2,,,2.22,5.66,5.46,3.34,3.34,3.34,3.44,3.44,3.54,,3.44
6,845800,648162,C1=CC2=C(C(=C1)OC(=O)C3=CC=C(O3)Br)N=CC=C2,Inactive,0,,,0.21,3.24,3.24,3.34,3.34,3.34,3.24,3.24,3.24,,3.03
7,847306,649707,CN1C2=C(C=C(C=C2)OC)C3=C1N=C(N=N3)SC,Inactive,1,,,0.7,4.51,4.51,4.31,4.01,3.91,3.91,3.91,3.91,,3.81
8,848292,54676097,CC(C)CN1C2=CC=CC=C2C(=C(C1=O)C(=O)NC3=CC=NC=C3)O,Inactive,2,,,2.04,5.2,3.16,3.06,3.26,3.26,3.37,3.26,3.37,3.37,3.16
9,848472,6603466,C1=CC=C(C=C1)COCC2=C3C=CC=NC3=C(C=C2)O.Cl,Inactive,0,,,0.4,3.91,3.71,3.71,3.71,3.61,3.61,3.61,3.51,,3.51
10,852129,54692915,CCN1C2=CC=CC=C2C(=C(C1=O)C(=O)NC3=NC4=CC=CC=C4N3)O,Inactive,4,,,4.44,7.46,4.74,4.23,3.53,2.72,2.62,2.82,2.92,2.82,3.02
11,852693,655327,CC1=CC(=O)N2C3=C(C(=O)N(C3=O)CC4=CC=CC=C4)SC2=N1,Inactive,1,,,1.02,4.39,3.26,3.16,3.16,3.26,3.47,3.37,3.47,3.47,3.37
12,855601,2788,C1=CC2=C(C(=C(C=C2Cl)I)O)N=C1,Inactive,2,,,2.12,5.66,5.66,4.96,3.94,3.84,3.74,3.64,3.64,,3.54
13,855609,3728,C1=CC2=C(C(=C(C=C2I)I)O)N=C1,Inactive,1,,,1.21,4.75,4.55,4.25,4.15,3.84,3.84,3.74,3.64,,3.54
14,856564,657917,CC1=CC(=CC=C1)OCCN2CN(C(=S)SC2)C,Inactive,0,,,0.3,3.67,3.47,3.47,3.47,3.47,3.47,3.47,3.47,3.47,3.37
15,857378,658724,CC(=O)OC1=C(N=C(O1)C2=CC=CC=C2)C=NC3=CC=CC=C3OC,Inactive,0,,,-0.7,2.52,2.62,2.72,2.82,2.92,3.12,2.92,3.22,3.22,3.22
16,857427,658778,CCOC(=O)C1=CC=C(C=C1)N=CC2=C(OC(=N2)C3=CC=CC=C3)OC(=O)C,Inactive,1,,,0.51,3.53,2.92,2.72,2.92,3.02,3.02,2.92,3.12,3.02,3.02
17,857616,658964,CCC(=O)OC1=C(N=C(O1)C2=CC=CC=C2)C=NC3=CC=CC=C3OC,Inactive,0,,,0,3.02,2.72,3.02,3.02,3.02,3.02,3.12,3.32,3.02,3.02
18,857738,659095,C1=CC=C(C=C1)N=CC2=C(OC(=N2)C3=CC=CO3)OC(=O)C4=COC=C4,Inactive,0,,,-9.58,3.37,3.47,3.57,3.77,4.08,4.59,5.51,7.04,9.18,12.95
