PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,SampleRatio,PlateCutoff
RESULT_TYPE,,,,,,,,FLOAT,FLOAT
RESULT_DESCR,,,,,,,,Ratio of median channel fluorescence of test sample to DMSO control,Average plus five standard deviations of the SampleRatios on a particular assay plate
RESULT_UNIT,,,,,,,,PERCENT,NONE
RESULT_ATTR_CONC_MICROMOL,,,,,,,,10,
1,17403527,5717129,CC[N+]1=C(SC2=CC=CC=C21)/C=C/C=C/N(C3=CC=CC=C3)C(=O)C.[I-],Active,94,,,308.99,215
2,17512301,1384449,CC1=CC(=NC2=NC(=C(N12)Br)CSC3=NC4=CC=CC=C4S3)C,Inactive,0,,,116.85,215
3,26658270,2521478,C1=CC(=C(C=C1OCC2=CC(=O)N3C=CSC3=N2)Cl)Cl,Inactive,0,,,123.6,215
4,17505080,1822015,CCC1=NN=C(S1)NS(=O)(=O)C2=CC=C(C=C2)NC(=S)NC(=O)/C=C/C3=CC=CC=C3,Inactive,0,,,113.48,215
5,81066459,15371789,CC(=O)N/C(=C\OCOC)/C1=CC=CC=C1,Inactive,0,,,114.61,215
6,17509783,4530610,CC1CCN(CC1)C(=O)C2=CC(=C(C=C2)S(=O)(=O)CC3=CC=CC=C3F)[N+](=O)[O-],Inactive,0,,,111.24,215
7,49716138,4399863,CC1=CC=C(C=C1)S(=O)(=O)C2=CC3=C(N=C4C=CC=CN4C3=O)N(C2=N)CCC5=CC=CC=C5,Inactive,0,,,107.87,215
8,22406624,2353564,C1CCC(C1)NC(=O)COC(=O)CSC2=CC3=CC=CC=C3C=C2,Inactive,0,,,114.61,215
9,49819978,16540180,C1=CC=C(C=C1)C2=CC=C(C=C2)COC(=O)C3=CC(=CC=C3)O,Inactive,0,,,115.73,215
10,17431539,692210,CC(C)C(C#CCN1CCCCC1)(C(C)C)O,Inactive,0,,,111.24,215
11,49824556,24818827,CCC1=C(C2(CCCC2)C(=O)O1)C3=CC(=C(C(=C3)OC)OC)OC,Inactive,0,,,113.48,215
12,17516037,4137576,COC(=O)C1=CC=C(C=C1)CNC(=O)COC(=O)CCC2CCCC2,Inactive,0,,,114.61,215
13,49645387,1103357,C1=CC2=C(C=CC3=C2C(=C1)C(=O)N3)S(=O)(=O)NCC(=O)O,Inactive,0,,,111.24,215
14,859753,5389287,COC1=CC=CC(=C1)/C(=C\2/C(N(C(=O)C2=O)CCCN3CCOCC3)C4=CC=C(C=C4)C(=O)OC)/O,Inactive,0,,,115.73,215
15,49714972,20876780,COC1=C(C=C(C=C1)CCNC(=O)C2=CCN(CC2)S(=O)(=O)C3=CC=C(C=C3)F)OC,Inactive,0,,,116.85,215
16,17515397,4622403,CC(C)C1=CC=C(C=C1)OCC2C3=CC(=C(C=C3CCN2C(=S)NCCOC)OC)OC,Inactive,0,,,114.61,215
17,24814895,3864422,C1CN(CCC1CC2=CC=CC=C2)C(C3=CC=CC=N3)C4=CC(=C5C=CC=NC5=C4O)Cl,Inactive,0,,,97.75,215
18,17516559,4992069,CC1=CC=C(C=C1)C(=O)NCC(=O)OCC2=CSC(=N2)C3=CC=CC=C3,Inactive,0,,,108.99,215
19,24784938,6484377,CC\1=NN(C(=O)/C1=C/N(C)C)C2=NC3=CC=CC=C3N2,Inactive,0,,,112.36,215
20,17515978,2699473,CN(CC1=CC=C(C=C1)SC)CC(=O)NC2=CC(=CC=C2)Br,Inactive,0,,,112.36,215
21,22405114,5199378,CCN(CC)C1=CC2=CC(=C(C#N)C#N)CCC2CC1,Inactive,0,,,155.06,215
22,847392,649787,C1CCC(CC1)C(=O)N2CCCC(C2)C3=NC(=NO3)C4=CC=C(C=C4)F,Inactive,0,,,104.49,215
23,22408272,2411796,C1C(=O)N(C(=O)S1)CCNC(=O)COC(=O)C2=C(C(=CC=C2)Cl)Cl,Inactive,0,,,112.36,215
24,57261446,16619202,CN1C=CC(=N1)NC(=O)C2=CC=C(C=C2)Cl,Inactive,0,,,105.62,215
25,26724289,3895146,CC1=CC=CC=C1SCC(=O)NC2=C(C=CC(=C2)S(=O)(=O)N3CCOCC3)N4CCOCC4,Inactive,0,,,107.87,215
26,14735741,5333955,C[N+]1=CC=C(C=C1)/C=C/C2=CC=C(C=C2)N(C)C.[I-],Active,100,,,8693.26,215
27,17512031,1831159,CCOC(=O)C1=C(SC2=C1CC(SC2)(C)C)NC(=S)NC3=CC=CC=C3,Inactive,0,,,202.25,215
28,49724313,24792125,C1CN(CCC1C2=CC=NC=C2)C(=O)C3=NOC(=C3)COC4=CC=CC(=C4)C(F)(F)F,Inactive,0,,,146.07,215
29,22413125,15945674,CC(C)N(C)CCOC(=O)C1=CC=CC=C1Br.Cl,Inactive,0,,,131.46,215
30,14729503,583933,CCCSC1=NN=C(S1)N,Inactive,0,,,117.98,215
31,24833894,16196554,CC(C)C[C@@H](C(=O)OC(C)(C)C)NC(=O)C1=C(NC=N1)C(=O)N(C)CC2=CC=CC=C2,Inactive,0,,,115.73,215
32,14732129,1888413,CCSC1=NN=C(S1)NC(C(F)(F)F)(C(F)(F)F)NC(=O)C,Inactive,0,,,116.85,215
33,85303376,3210724,CC1=CC=C(C=C1)C(C(=O)NC2CCCC2)N(C3=CC=CC=C3)C(=O)CCC(=O)NC4=NOC(=C4)C,Inactive,0,,,110.11,215
34,22403100,882738,C1CCN(CC1)C(=O)C2=CN(N=C2C3=CC=C(C=C3)F)C4=CC=CC=C4,Inactive,0,,,110.11,215
35,4243827,866661,COC1=CC=C(C=C1)NC(=O)COC2=NSN=C2N3CCCCC3,Inactive,0,,,106.74,215
36,26665449,929361,CC1=CC=CC=C1OCC(=O)NC2=NN=C(S2)C3=CC=NC=C3,Inactive,0,,,101.12,215
37,49816603,2205610,CC(C)C1=CC=C(C=C1)S(=O)(=O)NC2=CC(=C(C=C2)O)SC3=NC=NN3,Inactive,0,,,111.24,215
38,17504213,674073,CCC1=C(N=C2C(=C1SCCC(=O)O)C=CC=C2OC)C,Inactive,0,,,112.36,215
39,14722706,3149640,CC1(C2CCC1(C(=O)C2)CS(=O)(=O)N3CCOCC3)C,Inactive,0,,,103.37,215
40,14729702,574602,CCOC(=O)C1(N=C(OC(=N1)N2CCCCC2)C3=CN=CC=C3)C(F)(F)F,Inactive,0,,,104.49,215
41,24804996,5756549,CC\1(C2=CC=CC=C2N(/C1=C\C=C/3\C(=O)NC(=S)S3)C)C,Inactive,0,,,169.66,215
42,22415907,2909926,C1CC(OC1)C(=O)N2CCN(CC2)C(=S)NC3=CC=C(C=C3)F,Inactive,0,,,106.74,215
43,49819787,24818031,CN(CC1=CC=CS1)C(=O)C(CCSC)NC(=O)C2=CC=CC=C2Cl,Inactive,0,,,101.12,215
44,846560,648952,CCOC(=O)C1=NN(C(=O)C(=C1C)C#N)C2=CC=CC=C2,Inactive,0,,,101.12,215
45,49722561,135410465,CC1=CC2=C(C=C1)NC3=C2C=NN(C3=O)CC(=O)NCCC4=CC=C(C=C4)Cl,Inactive,0,,,106.74,215
46,85273493,3206377,CC1=CC(=NO1)NC(=O)CCC(=O)N(CC2=CC=CO2)C(C3=CC=CC=C3)C(=O)NC4CCCCC4,Inactive,0,,,104.49,215
47,49819984,16510799,CN(CCC#N)C(=O)COC(=O)C1=CC2=C(C=C1)C(=O)N(C2=O)C3CCCCC3,Inactive,0,,,105.62,215
48,14746903,5019822,CC(=O)NC1=C(C2=C(S1)CCCC2)C(C3=CC=C(C=C3)Cl)N4CCOCC4,Inactive,0,,,105.62,215
49,57260141,5280531,CCCCCCCCCCCCCCCC(=O)OC/C=C(\C)/C=C/C=C(\C)/C=C/C1=C(CCCC1(C)C)C,Inactive,0,,,105.62,215
50,17512472,6867256,CN1C(=NN=C1SCC(=O)N/N=C/C2=CC=C(S2)[N+](=O)[O-])C3=CC=C(C=C3)Cl,Inactive,0,,,111.24,215
