PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,ACTIVITY_TYPE,EC50_MICROM,EC50_95CI_LOW,EC50_95CI_HIGH,BOTTOM,TOP,LOGEC50,HILLSLOPE,STD_BOTTOM,STD_TOP,STD_LOGEC50,STD_HILLSLOPE,RSQR ,N_POINTS,%Response_0.01uM,%Response_0.02uM,%Response_0.05uM,%Response_0.14uM,%Response_0.41uM,%Response_1.23uM,%Response_3.72uM,%Response_11.22uM,%Response_33.11uM
RESULT_TYPE,,,,,,,,STRING,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,INTEGER,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT
RESULT_DESCR,,,,,,,,Qualifier for the value of EC50,Effective concentration of half maximal event count as estimated by curve fit,Lower 95% confidence interval boundary for the EC50 curve fit estimate,Upper 95% confidence interval boundary for the EC50 curve fit estimate,Response value at the bottom plateau,Response value at the top plateau,Log of the EC50 estimate,Hill slope estimate for the fitted dose response curve,Standard error for the response value at the bottom plateau,Standard error for the response value at the top plateau,Standard error for the Log EC50 value,Standard error for the HILL SLOPE,Correlation coefficient for the fitted dose response curve,Number of data points for each dose response curve,Percent Response measured with 0.01 micromolar concentration of test compound first repetition,Percent Response measured with 0.02 micromolar concentration of test compound first repetition,Percent Response measured with 0.05 micromolar concentration of test compound first repetition,Percent Response measured with 0.14 micromolar concentration of test compound first repetition,Percent Response measured with 0.41 micromolar concentration of test compound first repetition,Percent Response measured with 1.23 micromolar concentration of test compound first repetition,Percent Response measured with 3.72 micromolar concentration of test compound first repetition,Percent Response measured with 11.22 micromolar concentration of test compound first repetition,Percent Response measured with 33.11 micromolar concentration of test compound first repetition
RESULT_UNIT,,,,,,,,NONE,MICROMOLAR,MICROMOLAR,MICROMOLAR,PERCENT,PERCENT,NONE,NONE,PERCENT,PERCENT,NONE,NONE,NONE,NONE,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,
RESULT_ATTR_CONC_MICROMOL,,,,,,,,,,,,,,,,,,,,,,0.01,0.02,0.05,0.14,0.41,1.23,3.7,11.2,33.1
1,17431539,692210,CC(C)C(C#CCN1CCCCC1)(C(C)C)O,Inactive,0,,,,,,,,,,,,,,,,,122.9,125.26,134.71,125.26,120.53,125.26,120.53,125.26,111.08
2,51085173,24891886,CC1=CC=C(C=C1)CN2C(=O)C(NC3=C2C(=NC=N3)N4CCN(CC4)C5=CC=CC=C5)CC6=CC=CC=C6.C(=O)(C(F)(F)F)O,Inactive,0,,,,,,,,,,,,,,,,,118.17,115.81,118.17,118.17,125.26,134.71,129.99,141.8,111.08
3,49724313,24792125,C1CN(CCC1C2=CC=NC=C2)C(=O)C3=NOC(=C3)COC4=CC=CC(=C4)C(F)(F)F,Inactive,0,,,,,,,,,,,,,,,,,115.81,118.17,118.17,115.81,118.17,115.81,108.71,118.17,108.71
4,24841587,16197076,CCO[C@H]1[C@@H]([C@H](C=C(O1)C(=O)NC2=CC=CC=C2)C3=CC=C(C=C3)Br)CCCO,Inactive,0,,,,,,,,,,,,,,,,,122.9,108.71,115.81,115.81,113.44,106.35,120.53,151.26,101.62
5,49816603,2205610,CC(C)C1=CC=C(C=C1)S(=O)(=O)NC2=CC(=C(C=C2)O)SC3=NC=NN3,Inactive,0,,,,,,,,,,,,,,,,,118.17,113.44,113.44,113.44,99.26,111.08,113.44,120.53,151.26
