absorption_max,emission_max
469.0,525.0
469.0,525.0
405.0,520.0
469.0,525.0
488.0,530.0
382.0,445.0
405.0,520.0
469.0,525.0
488.0,530.0
547.0,618.0
339.0,460.0
469.0,525.0
480.0,540.0
469.0,525.0
488.0,530.0
405.0,520.0
547.0,598.0
469.0,525.0
340.0,450.0
469.0,525.0
488.0,530.0
480.0,540.0
488.0,530.0
488.0,530.0
488.0,530.0
488.0,530.0
547.0,618.0
469.0,525.0
488.0,530.0
469.0,525.0
339.0,460.0
340.0,450.0
570.0,671.0
488.0,530.0
488.0,530.0
570.0,671.0
469.0,525.0
469.0,525.0
469.0,525.0
488.0,530.0
469.0,525.0
469.0,525.0
469.0,525.0
340.0,450.0
469.0,525.0
488.0,535.0
488.0,530.0
469.0,525.0
547.0,598.0
340.0,450.0
488.0,530.0
547.0,618.0
405.0,520.0
405.0,520.0
547.0,598.0
469.0,525.0
340.0,450.0
340.0,450.0
488.0,530.0
405.0,520.0
469.0,525.0
570.0,671.0
488.0,530.0
339.0,460.0
480.0,540.0
547.0,598.0
570.0,671.0
400.0,406.0
547.0,618.0
405.0,460.0
547.0,598.0
340.0,450.0
469.0,525.0
488.0,530.0
340.0,450.0
339.0,460.0
480.0,540.0
547.0,598.0
469.0,525.0
488.0,530.0
488.0,530.0
405.0,520.0
547.0,618.0
469.0,525.0
547.0,618.0
488.0,530.0
547.0,598.0
469.0,525.0
547.0,598.0
339.0,460.0
547.0,598.0
340.0,450.0
339.0,460.0
570.0,671.0
405.0,520.0
469.0,525.0
488.0,530.0
469.0,525.0
480.0,540.0
469.0,525.0
570.0,671.0
488.0,530.0
469.0,525.0
469.0,525.0
488.0,530.0
570.0,671.0
488.0,530.0
485.0,535.0
547.0,618.0
469.0,525.0
469.0,525.0
339.0,460.0
339.0,460.0
547.0,598.0
485.0,535.0
469.0,525.0
469.0,525.0
488.0,530.0
469.0,525.0
469.0,525.0
488.0,530.0
469.0,525.0
469.0,525.0
488.0,530.0
480.0,540.0
469.0,525.0
488.0,530.0
469.0,525.0
469.0,525.0
405.0,520.0
469.0,525.0
469.0,525.0
547.0,598.0
405.0,520.0
488.0,530.0
469.0,525.0
469.0,525.0
547.0,618.0
405.0,520.0
405.0,520.0
340.0,450.0
480.0,540.0
339.0,460.0
547.0,598.0
469.0,525.0
488.0,530.0
405.0,460.0
570.0,671.0
469.0,525.0
547.0,598.0
339.0,460.0
405.0,520.0
488.0,530.0
547.0,598.0
570.0,671.0
469.0,525.0
570.0,671.0
405.0,520.0
405.0,520.0
469.0,525.0
405.0,520.0
469.0,525.0
469.0,525.0
488.0,530.0
469.0,525.0
488.0,530.0
547.0,598.0
488.0,530.0
488.0,530.0
469.0,525.0
480.0,540.0
547.0,598.0
469.0,525.0
339.0,460.0
488.0,530.0
488.0,530.0
469.0,525.0
488.0,530.0
469.0,525.0
405.0,520.0
469.0,525.0
340.0,450.0
480.0,540.0
469.0,525.0
570.0,671.0
480.0,540.0
469.0,525.0
469.0,525.0
488.0,530.0
488.0,530.0
488.0,530.0
547.0,618.0
469.0,525.0
547.0,618.0
469.0,525.0
340.0,450.0
469.0,525.0
340.0,450.0
488.0,530.0
469.0,525.0
480.0,540.0
469.0,525.0
547.0,618.0
339.0,460.0
488.0,530.0
340.0,450.0
469.0,525.0
405.0,520.0
488.0,530.0
570.0,671.0
547.0,618.0
488.0,530.0
405.0,520.0
469.0,525.0
488.0,530.0
488.0,530.0
469.0,525.0
405.0,520.0
570.0,671.0
469.0,525.0
488.0,530.0
469.0,525.0
488.0,530.0
469.0,525.0
488.0,530.0
469.0,525.0
469.0,525.0
469.0,525.0
570.0,671.0
469.0,525.0
340.0,450.0
405.0,520.0
488.0,530.0
469.0,525.0
480.0,540.0
469.0,525.0
570.0,671.0
469.0,525.0
469.0,525.0
488.0,530.0
340.0,450.0
339.0,460.0
469.0,525.0
547.0,598.0
339.0,460.0
485.0,535.0
469.0,525.0
469.0,525.0
488.0,530.0
547.0,618.0
547.0,618.0
488.0,530.0
