smiles,new_category
CN(C)CCCN(C1=NC2=C(C=CC=C2S1)F)C(=O)C3=CC=C(C=C3)C(=O)C4=CC=CC=C4,0.0
CC1=CC=CC=C1C(=O)NC2=NN=C(S2)CC3=CC=C(C=C3)OC,0.0
CN(C)C(=O)CSC1=CC=CC2=C1N=CC=C2,0.0
C/C(=C(/C#N)\C(=O)CSC1=NN=C(S1)NC2=CC=CC=C2)/N,0.0
COC1=C(C=C(C=C1)N(C(C2=CC=CC=C2)C(=O)NC3CCCCC3)C(=O)C4COC5=CC=CC=C5O4)OC,0.0
CCCCCCCCC1(CCCCCCCC)c2cc(-c3ccc(C(F)(F)F)cc3)ccc2-c2ccc(N(c3ccc(-n4c5ccccc5c5ccccc54)cc3)c3ccc4c(c3)C(CCCCCCCC)(CCCCCCCC)c3cc(-c5ccc(C(F)(F)F)cc5)ccc3-4)cc21,1.0
CC1=CC2=C(C(C(=C(O2)N)C(=O)OC)C3=C(C(=CC=C3)OC)OC)C(=O)N1CC4=CN=CC=C4,0.0
COC1=CC(=CC(=C1OC)OC)/C=C/C(=O)C2=CC=CC=C2O,0.0
C[C@@]12CCC=C[C@H]1[C@@H](N(C2=O)CC3=CC=CC=C3)C4=COC=C4,0.0
CCC(C)(C(=O)O)NC(=O)CSP(=S)(C)OCC,0.0
CCOCCCNC(=O)CCNS(=O)(=O)C1=CC=C(C=C1)C,0.0
CCC(C)(C)NC(=O)C(C1=CC=C(C=C1)OC)N(C2=CC=C(C=C2)F)C(=O)CCC(=O)NC3=NOC(=C3)C,0.0
CC1=CC2=C(O1)C=C(N2CC(=O)NC3=C(C(=C(C=C3)OC)OC)OC)C(=O)OC,0.0
CC(=O)NC1=CC(=CC=C1)NC(=O)CSC2=NC=C(N2)C3=CC=CC=C3,0.0
COC1=CC=CC(=C1OC)C(=O)N2C=NN=C2N,1.0
COC1=CC(=C(C=C1)CNC2=NC(=NC3=CC=CC=C32)C4=CC=CC(=C4)C#N)OC,0.0
CC1=NC2=CN=C(N=C2N(C1=O)C3CC3)NC4=CC=CC=C4,0.0
C1=CC=C(C=C1)OC2=C(C=C(C=C2)Cl)NC(=O)COC3=CC=CC=C3Cl,0.0
CN(C)CCCSC(=N)N,0.0
CCC1=C(N2C=C(C=CC2=N1)C(=O)N3CCN(CC3)S(=O)(=O)CC)N(CC)C(=O)NCCC4=CC=CC=C4,0.0
C1=CC=C(C=C1)NC2=CC=C(C=C2)N,0.0
C1=CC2=C(C=CC(=C2)/C=N/N3C=NN=C3)N=C1,0.0
CC(CS(=O)(=O)C1=CC=CC(=C1)C(F)(F)F)(C(=O)NC2=CC=CC(=C2)C(F)(F)F)O,1.0
CN1C2=CC=CC=C2C3(C1=O)C(=C(OC4=NNC(=C34)COC)N)C#N,1.0
